,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
3399,The Orion,2 600,City Centre,Condominium,3,3,3,1323 ,Fully Furnished,"Jogging Track, Squash Court, Parking, Playground, Swimming Pool, Gymnasium, Barbeque area",Kuala Lumpur
3401,10 Semantan,1 600,Damansara Heights,Service Residence,1,1,1,520 ,Fully Furnished,"Security, Barbeque area, Minimart, Sauna, Swimming Pool, Parking, Gymnasium, Lift",Kuala Lumpur
3402,Platinum Splendor Residensi Semarak,2 000,mat,Condominium,3,1,2,1184 ,Partially Furnished,"Sauna, Parking, Gymnasium, Playground, Security, Minimart, Swimming Pool, Lift, Barbeque area",Kuala Lumpur
3405,Bayu Tasik 1,1 400,Cheras,Condominium,3,1,2,928 ,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Barbeque area, Security, Minimart, Parking",Kuala Lumpur
3406,Casa Green (Bukit Jalil),1 700,Bukit Jalil,Condominium,3,2,3,1003 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Barbeque area",Kuala Lumpur
3407,M Vertica,2 300,Cheras,Condominium,3,2,2,900 ,Partially Furnished,"Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Playground, Tennis Court",Kuala Lumpur
3410,Angkupuri,2 400,Mont Kiara,Condominium,3,1,2,1300 ,Fully Furnished,"Tennis Court, Barbeque area, Parking, Playground, Swimming Pool, Gymnasium, Squash Court, Sauna, Security, Minimart, Jogging Track, Lift, Multipurpose hall",Kuala Lumpur
3413,Sentul Point Suite Apartment,1 500,tul,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Gymnasium, Security, Swimming Pool, Playground, Squash Court, Minimart",Kuala Lumpur
3414,Putra Suria Residence,1 200,Cheras,Apartment,3,1,2,750 ,Not Furnished,"Gymnasium, Security, Minimart, Jogging Track, Parking, Lift, Playground, Multipurpose hall, Tennis Court",Kuala Lumpur
3417,Far East Residence,2 200,chai Lama,Service Residence,3,2,2,864 ,Partially Furnished,"Playground, Sauna, Barbeque area, Multipurpose hall, Minimart, Security, Gymnasium, Lift, Swimming Pool, Parking",Kuala Lumpur
3419,M Vertica,1 750,Cheras,Condominium,3,2,2,850 ,Not Furnished,"Tennis Court, Lift, Playground, Barbeque area, Security, Parking, Jogging Track, Multipurpose hall, Swimming Pool",Kuala Lumpur
3421,Sri Pelangi (Jalan Genting Kelang),288 000,tapak,Condominium,3,1,2,927 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court",Kuala Lumpur
3422,Corinthian Condominium,3 300,CC,Condominium,3,1,2,1500 ,Fully Furnished,"Playground, Parking, Minimart, Swimming Pool, Gymnasium, Jogging Track, Security, Lift, Sauna",Kuala Lumpur
3423,Bayu Sentul Condominium,1 700,tul,Condominium,4,2,3,1630 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium",Kuala Lumpur
3424,Residensi KepongMas,1 000,pong,Apartment,3,1,2,800 ,Not Furnished,"Parking, Playground, Lift, Security",Kuala Lumpur
3429,The Scott Soho,1 300,Old Klang Road,Service Residence,1,1,2,775 ,Not Furnished,"Parking, Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area",Kuala Lumpur
3431,Platinum Lake PV 21,1 200,tapak,Service Residence,3,1,2,900 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",Kuala Lumpur
3433,Damai Hillpark,1 800,Bandar Damai Perdana,Service Residence,3,2,2,1020 ,Partially Furnished,Parking,Kuala Lumpur
3434,3 Residen,2 600,Taman Melawati,Condominium,2,2,2,1206 ,Fully Furnished,"Minimart, Barbeque area, Security, Swimming Pool, Sauna, Playground, Gymnasium, Parking, Lift, Multipurpose hall, Jogging Track",Kuala Lumpur
3435,Serini Melawati,3 000,Taman Melawati,Service Residence,3,1,2,1367 ,Fully Furnished,"Swimming Pool, Parking, Playground, Minimart, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track, Sauna, Club house",Kuala Lumpur
3437,M Suites,1 600,Ampang Hilir,Service Residence,1,1,1,502 ,Fully Furnished,"Sauna, Swimming Pool, Barbeque area, Gymnasium",Kuala Lumpur
3438,Sinar Magna,1 100,pong,Apartment,3,1,2,825 ,Partially Furnished,"Security, Parking, Playground, Lift",Kuala Lumpur
3439,Residensi Kepongmas 2,1 200,pong,Apartment,3,1,2,800 ,Partially Furnished,"Parking, Security, Lift, Multipurpose hall",Kuala Lumpur
3440,The Scott Soho,1 800,Old Klang Road,Service Residence,1,1,2,775 ,Fully Furnished,"Parking, Security, Swimming Pool, Gymnasium, Jogging Track, Barbeque area",Kuala Lumpur
3441,Pangsapuri Mawar (Sentul),1 500,tul,Apartment,3,1,2,1005 ,Partially Furnished,"Parking, Security, Minimart",Kuala Lumpur
3443,The Leafz,2 000,ungai Besi,Service Residence,2,2,2,1025 ,Fully Furnished,"Swimming Pool, Parking, Security, Lift, Playground, Gymnasium, Jogging Track, Multipurpose hall, Minimart",Kuala Lumpur
3444,Gembira Residen (G Residence),2 800,chai Lama,Condominium,3,2,2,1168 ,Fully Furnished,"Swimming Pool, Sauna, Parking, Playground, Lift, Multipurpose hall, Club house, Security, Tennis Court, Jogging Track, Minimart, Gymnasium, Squash Court",Kuala Lumpur
3445,Cerrado,1 800,ungai Besi,Condominium,2,2,1,656 ,Fully Furnished,"Security, Parking, Playground",Kuala Lumpur
3446,Cerrado,1 600,ungai Besi,Condominium,2,2,1,656 ,Partially Furnished,"Playground, Parking, Security",Kuala Lumpur
3448,M Vertica,2 800,Cheras,Condominium,4,2,2,1000 ,Fully Furnished,"Lift, Swimming Pool, Barbeque area, Multipurpose hall, Parking, Tennis Court, Security, Playground, Jogging Track, Gymnasium, Minimart",Kuala Lumpur
3451,Villa Wangsamas,2 000,Wangsa Maju,Condominium,3,1,3,1267 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
3452,Villa Pawana,2 000,mat,Condominium,3,1,3,1280 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Kuala Lumpur
3453,PPA1M Metropolitan Kepong,1 600,pong,Condominium,5,2,2,1500 ,Partially Furnished,"Parking, Security, Lift, Minimart, Playground, Multipurpose hall",Kuala Lumpur
3454,Villa Angsana,1 400,Jalan Ipoh,Condominium,3,1,2,1323 ,Partially Furnished,"Minimart, Swimming Pool, Barbeque area, Security, Tennis Court, Playground, Gymnasium, Multipurpose hall, Parking",Kuala Lumpur
3455,Serini Melawati,3 000,Taman Melawati,Service Residence,3,1,2,1367 ,Fully Furnished,"Swimming Pool, Parking, Playground, Minimart, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track",Kuala Lumpur
3456,The Haute,2 300,mat,Condominium,3,2,2,1050 ,Fully Furnished,"Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool",Kuala Lumpur
3457,TR Residence,2 500,Titiwangsa,Service Residence,3,1,2,753 ,Partially Furnished,"Multipurpose hall, Playground, Gymnasium, Jogging Track, Security, Barbeque area, Swimming Pool",Kuala Lumpur
3460,Residensi Sefina Mont Kiara,3 900,Mont Kiara,Condominium,3,2,2,1333 ,Fully Furnished,"Security, Playground, Swimming Pool, Sauna, Tennis Court, Gymnasium",Kuala Lumpur
3463,Inspirasi Mont Kiara,3 800,Mont Kiara,Condominium,3,2,2,1015 ,Fully Furnished,"Parking, Security, Lift",Kuala Lumpur
3466,Solaris Dutamas Designer Suites,5 800,Mont Kiara,Condominium,3,1,2,1238 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool",Kuala Lumpur
3469,Palace Court,2 200,chai Lama,Condominium,3,2,2,1328 ,Fully Furnished,"Playground, Swimming Pool, Lift, Tennis Court, Security, Gymnasium, Barbeque area, Sauna, Parking",Kuala Lumpur
3471,CitiZen,1 600,Old Klang Road,Service Residence,2,1,2,725 ,Partially Furnished,"Security, Playground, Parking, Gymnasium, Barbeque area, Swimming Pool, Jogging Track, Sauna, Multipurpose hall",Kuala Lumpur
3472,Cendana Apartment,1 200,Cheras,Apartment,2,1,1,650 ,Fully Furnished,"Security, Playground, Gymnasium, Minimart",Kuala Lumpur
3473,Angkasa Condominiums,1 300,Cheras,Condominium,3,1,2,950 ,Fully Furnished,"Security, Parking, Minimart, Playground, Gymnasium, Swimming Pool, Tennis Court",Kuala Lumpur
3474,PPA1M Metropolitan Kepong,1 600,pong,Condominium,5,2,2,1500 ,Partially Furnished,"Parking, Lift, Security, Playground",Kuala Lumpur
3476,Sri Intan 2,1 500,Jalan Ipoh,Condominium,3,1,2,1188 ,Partially Furnished,"Minimart, Barbeque area, Jogging Track, Parking, Playground, Tennis Court, Security, Swimming Pool",Kuala Lumpur
3478,Platinum Lake PV8,100,tapak,Condominium,1,1,1,1 ,Not Furnished,Parking,Kuala Lumpur
3480,THE FENNEL AT SENTUL EAST,3 100,tul,Condominium,3,2,3,1250 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
3481,ViPod Residences @ KLCC,3 800,CC,Condominium,2,1,1,635 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house",Kuala Lumpur
3482,"The Park 2, Pavilion Bukit Jalil",3 500,Bukit Jalil,Service Residence,3,1,2,750 ,Fully Furnished,"Swimming Pool, Gymnasium, Security, Playground, Parking, Lift, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
3486,CitiZen,1 900,Old Klang Road,Service Residence,2,1,2,750 ,Fully Furnished,"Parking, Swimming Pool, Jogging Track, Barbeque area, Security, Gymnasium, Sauna, Multipurpose hall, Playground",Kuala Lumpur
3487,Stonor 3 @ KLCC,7 500,CC,Service Residence,3,2,3,1600 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
3488,Ppa1m,1 330,Bukit Jalil,Apartment,3,1,2,1200 ,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Minimart",Kuala Lumpur
3490,The Birch,1 600,Jalan Ipoh,Service Residence,2,1,1,611 ,Partially Furnished,"Multipurpose hall, Security, Jogging Track, Playground, Swimming Pool, Barbeque area, Gymnasium",Kuala Lumpur
3492,Mutiara Villa,2 400,Bukit Bintang,Condominium,2,1,2,1033 ,Fully Furnished,"Parking, Gymnasium, Security, Tennis Court, Minimart, Swimming Pool, Lift, Playground",Kuala Lumpur
3498,Residency V,2 400,Old Klang Road,Service Residence,3,2,2,909 ,Fully Furnished,"Gymnasium, Parking, Security, Playground, Barbeque area, Swimming Pool, Lift, Sauna, Club house, Jogging Track",Kuala Lumpur
3499,EkoCheras Service Apartment,250,Cheras,Service Residence,1,1,1,700 ,Not Furnished,Parking,Kuala Lumpur
3501,The Forum,3 000,City,Condominium,3,1,2,1100 ,Fully Furnished,"Parking, Security, Tennis Court, Squash Court, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
3504,Kuchai Entrepreneurs Park,800,chai Lama,Apartment,2,1,1,710 ,Partially Furnished,Parking,Kuala Lumpur
3505,Residensi Akasia Permaisuri,1 400,Cheras,Apartment,3,1,2,807 ,Partially Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Kuala Lumpur
3507,"SkyAwani 3 Residence, Setapak",1 500,tapak,Condominium,3,1,2,800 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",Kuala Lumpur
3508,Seasons Garden Residences @ Wangsa Maju,1 500,Wangsa Maju,Condominium,3,1,2,779 ,Partially Furnished,"Security, Parking, Minimart, Swimming Pool, Playground, Gymnasium, Lift, Barbeque area, Multipurpose hall, Jogging Track, Club house",Kuala Lumpur
3509,The Herz,2 300,pong,Apartment,3,2,2,1216 ,Fully Furnished,"Sauna, Club house, Minimart, Playground, Tennis Court, Squash Court, Parking, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Security, Jogging Track, Lift",Kuala Lumpur
3510,Faber Heights,2 000,Taman Desa,Condominium,3,2,3,1200 ,Fully Furnished,"Gymnasium, Barbeque area, Sauna, Parking, Security, Swimming Pool, Minimart, Playground, Tennis Court, Squash Court, Club house",Kuala Lumpur
3511,Palace Court,1 500,chai Lama,Condominium,2,2,2,789 ,Partially Furnished,"Swimming Pool, Lift, Security, Playground, Gymnasium, Tennis Court, Sauna, Barbeque area, Parking, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
3518,V Residence Suites,2 400,Cheras,Service Residence,2,1,1,694 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
3521,Rivercity Condominium,1 350,Jalan Ipoh,Condominium,3,1,2,1270 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track",Kuala Lumpur
3523,Residensi Gurneymas,1 400,mat,Apartment,3,1,2,850 ,Not Furnished,"Security, Parking",Kuala Lumpur
3527,Desa Dua Aman Puri,850,pong,Apartment,3,1,2,850 ,Partially Furnished,"Security, Parking, Playground",Kuala Lumpur
3528,Rampai Court,950,Wangsa Maju,Apartment,2,2,1,600 ,Partially Furnished,"Security, Barbeque area, Parking, Playground",Kuala Lumpur
3530,Menara Polo,1 800,Desa Pandan,Condominium,3,1,2,1500 ,Fully Furnished,"Swimming Pool, Security, Gymnasium, Parking, Barbeque area, Playground, Sauna, Lift, Minimart, Squash Court",Kuala Lumpur
3531,Stonor 3 @ KLCC,7 500,CC,Service Residence,3,2,3,1600 ,Fully Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Barbeque area, Sauna",Kuala Lumpur
3532,Sentul Point Suite Apartment,1 800,tul,Apartment,3,2,2,850 ,Partially Furnished,"Minimart, Gymnasium, Parking, Playground, Swimming Pool, Security, Lift, Barbeque area, Multipurpose hall",Kuala Lumpur
3533,The Haute,2 100,mat,Condominium,3,2,2,1050 ,Fully Furnished,"Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Lift, Playground",Kuala Lumpur
3534,Residensi Harmoni 2 @ Bukit Prima Pelangi,2 100,mbut,Condominium,3,2,2,1200 ,Partially Furnished,"Multipurpose hall, Playground, Barbeque area, Sauna, Parking, Swimming Pool, Gymnasium, Jogging Track, Security, Lift, Minimart",Kuala Lumpur
3535,Rivercity Condominium,1 500,Jalan Ipoh,Condominium,3,1,2,1200 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall",Kuala Lumpur
3539,Unio Residence,1 799,pong,Condominium,1,1,1,250 ,Fully Furnished,"Minimart, Gymnasium, Jogging Track, Lift, Multipurpose hall, Playground, Swimming Pool, Barbeque area, Parking, Security, Tennis Court",Kuala Lumpur
3541,Bayu Andaman,1 400,tul,Apartment,3,1,2,1000 ,Partially Furnished,"Parking, Security, Swimming Pool, Minimart, Playground, Gymnasium, Squash Court, Lift, Sauna",Kuala Lumpur
3542,Residensi KepongMas,1 300,pong,Apartment,3,1,2,800 ,Fully Furnished,Parking,Kuala Lumpur
3543,Seri Riana Residence,3 200,Wangsa Maju,Condominium,3,2,2,1259 ,Fully Furnished,"Jogging Track, Parking, Playground, Gymnasium, Sauna, Club house, Security, Barbeque area, Swimming Pool, Tennis Court, Squash Court",Kuala Lumpur
3546,Pangsapuri Sri Penara,900,Cheras,Flat,3,1,2,650 ,Partially Furnished,"Security, Minimart, Jogging Track, Parking, Swimming Pool",Kuala Lumpur
3547,Sri Putramas,1 700,Jalan Kuching,Condominium,3,1,2,1100 ,Fully Furnished,"Barbeque area, Minimart, Tennis Court, Sauna, Playground, Swimming Pool, Gymnasium, Parking, Security",Kuala Lumpur
3548,Maxim Residences,1 400,Cheras,Service Residence,3,2,2,1050 ,Partially Furnished,"Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Sauna",Kuala Lumpur
3550,Baiduri Apartment (Desa Pandan),1 500,Desa Pandan,Apartment,3,1,2,990 ,Partially Furnished,"Security, Parking",Kuala Lumpur
3553,Parkhill Residence Bukit Jalil,2 500,Bukit Jalil,Condominium,3,1,2,1100 ,Partially Furnished,"Playground, Lift, Parking, Minimart, Security, Swimming Pool, Gymnasium, Multipurpose hall",Kuala Lumpur
3554,D'Suria Condominium,2 400,Ampang,Condominium,4,2,3,1264 ,Partially Furnished,"Parking, Security, Swimming Pool",Kuala Lumpur
3556,M Centura,1 250,tul,Service Residence,2,1,1,646 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
3557,Sri Lojing,2 200,Wangsa Maju,Condominium,4,2,3,1700 ,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",Kuala Lumpur
3560,Winner Court A,1 050,Desa Petaling,Condominium,3,1,2,765 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Kuala Lumpur
3561,Sky Awani Residensi,1 400,tul,Condominium,3,1,2,800 ,Partially Furnished,"Security, Swimming Pool, Jogging Track, Sauna, Club house, Parking, Minimart, Playground, Barbeque area, Lift",Kuala Lumpur
3562,Villa Crystal,2 000,mbut,Condominium,3,2,3,1155 ,Fully Furnished,"Playground, Jogging Track, Security, Gymnasium, Parking, Sauna, Swimming Pool",Kuala Lumpur
3563,Damai Hillpark,1 800,Bandar Damai Perdana,Service Residence,3,2,2,1020 ,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
3564,Parkhill Residence Bukit Jalil,3 000,Bukit Jalil,Condominium,3,2,2,1100 ,Fully Furnished,"Swimming Pool, Parking, Minimart, Gymnasium, Lift, Security, Playground, Sauna, Barbeque area, Multipurpose hall, Jogging Track",Kuala Lumpur
3565,Seasons Garden Residences @ Wangsa Maju,2 000,Wangsa Maju,Condominium,3,1,2,850 ,Fully Furnished,"Security, Playground, Parking, Minimart, Swimming Pool, Gymnasium",Kuala Lumpur
3566,Angkasa Condominiums,1 600,Cheras,Condominium,3,1,2,920 ,Fully Furnished,"Security, Minimart, Parking, Playground, Gymnasium, Swimming Pool, Tennis Court",Kuala Lumpur
3567,Majestic Maxim,1 500,Cheras,Service Residence,2,1,2,650 ,Partially Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
3568,OUG Parklane,1 300,OUG,Service Residence,3,2,2,950 ,Partially Furnished,"Parking, Minimart, Squash Court, Sauna, Swimming Pool, Security, Playground",Kuala Lumpur
3572,The Era,2 380,mbut,Service Residence,2,2,2,900 ,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
3574,Arte Mont Kiara,2 300,Mont Kiara,Service Residence,2,1,2,955 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
3575,Platinum OUG Residence,1 400,chai Lama,Condominium,3,1,2,1200 ,Partially Furnished,"Gymnasium, Security, Playground, Lift",Kuala Lumpur
3576,Endah Regal,1 200,i Petaling,Condominium,3,1,2,1141 ,Partially Furnished,"Sauna, Security, Swimming Pool, Tennis Court, Parking, Barbeque area, Club house, Gymnasium",Kuala Lumpur
3577,Zamrud Apartment,1 200,Old Klang Road,Apartment,3,1,2,1170 ,Partially Furnished,"Parking, Minimart, Security, Playground, Swimming Pool, Lift, Multipurpose hall",Kuala Lumpur
3578,Legasi Kampong Bharu,3 300,City,Apartment,3,1,2,950 ,Fully Furnished,"Swimming Pool, Squash Court, Lift, Jogging Track, Parking, Minimart, Gymnasium, Security, Tennis Court, Playground",Kuala Lumpur
3579,Lexa Residence @ The Quartz WM,2 100,Wangsa Maju,Service Residence,4,2,2,876 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Minimart, Sauna, Jogging Track, Club house, Gymnasium",Kuala Lumpur
3582,Pavilion Residences,3 700,Bukit Bintang,Condominium,2,1,2,775 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Minimart, Club house, Jogging Track",Kuala Lumpur
3584,M Centura,1 700,tul,Service Residence,3,1,2,850 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
3585,Ascadia Lake View,1 100,Ampang Hilir,Apartment,3,1,2,950 ,Not Furnished,"Parking, Security",Kuala Lumpur
3586,3 Residen,2 600,Taman Melawati,Condominium,2,2,2,1206 ,Fully Furnished,"Minimart, Barbeque area, Sauna, Playground, Security, Swimming Pool, Gymnasium, Lift, Parking, Jogging Track, Multipurpose hall",Kuala Lumpur
3587,Mont Kiara Palma,3 500,Mont Kiara,Condominium,3,2,2,1390 ,Fully Furnished,"Minimart, Squash Court, Swimming Pool, Gymnasium, Tennis Court, Sauna, Club house, Playground, Multipurpose hall, Security, Parking, Lift",Kuala Lumpur
3591,Prisma Cheras,950,Cheras,Condominium,1,1,1,900 ,Fully Furnished,"Barbeque area, Playground, Squash Court, Sauna, Security, Gymnasium, Swimming Pool, Tennis Court, Parking",Kuala Lumpur
3593,Majestic Maxim,1 250,Cheras,Service Residence,3,1,2,819 ,Not Furnished,"Swimming Pool, Jogging Track, Lift, Parking, Security, Barbeque area, Playground, Gymnasium",Kuala Lumpur
3594,Seri Mas (Cheras),1 200,Cheras,Condominium,3,1,2,867 ,Partially Furnished,"Parking, Barbeque area, Tennis Court, Swimming Pool, Security",Kuala Lumpur
3595,Ketumbar Heights,1 300,Cheras,Condominium,3,1,2,903 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Kuala Lumpur
3596,Sky Awani Residensi,1 300,tul,Condominium,3,1,2,800 ,Partially Furnished,"Parking, Playground, Swimming Pool, Jogging Track, Club house, Security, Minimart, Barbeque area, Sauna",Kuala Lumpur
3597,Suria Jelatek Residence,3 500,Ampang Hilir,Condominium,1,2,1,736 ,Fully Furnished,"Barbeque area, Parking, Jogging Track, Security, Playground, Multipurpose hall, Minimart, Swimming Pool, Gymnasium",Kuala Lumpur
3598,Amaya Maluri,2 300,Cheras,Condominium,3,2,2,920 ,Fully Furnished,"Multipurpose hall, Playground, Swimming Pool, Gymnasium, Parking, Security",Kuala Lumpur
3600,Rampai Court,1 100,Wangsa Maju,Apartment,2,1,1,720 ,Partially Furnished,"Playground, Parking, Security, Lift, Barbeque area",Kuala Lumpur
3601,Desaku 3 Condominium,1 500,Taman Melawati,Condominium,3,1,2,800 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Kuala Lumpur
3603,Pangsapuri Pandanmas 2,1 100,Desa Pandan,Apartment,3,1,2,800 ,Not Furnished,"Parking, Security, Lift, Minimart",Kuala Lumpur
3605,Flat wangsa maju seksyen 2 Blok G,1 100,Wangsa Maju,Flat,2,1,1,560 ,Not Furnished,"Playground, Jogging Track, Minimart",Kuala Lumpur
3606,1 Petaling,1 500,ungai Besi,Condominium,3,1,2,1500 ,Partially Furnished,"Jogging Track, Barbeque area, Multipurpose hall, Playground, Security, Swimming Pool",Kuala Lumpur
3607,Residensi Gurneymas,1 300,mat,Apartment,3,1,2,850 ,Partially Furnished,"Security, Parking, Lift",Kuala Lumpur
3609,The Orion,1 750,City Centre,Condominium,1,1,1,750 ,Fully Furnished,"Playground, Barbeque area, Swimming Pool, Gymnasium, Parking, Security, Lift",Kuala Lumpur
3610,Angsana Apartment (Pandan Indah),1 300,CC,Condominium,3,1,2,900 ,Not Furnished,"Lift, Security, Parking, Swimming Pool, Playground, Jogging Track, Minimart",Kuala Lumpur
3612,Bandar Tasik Selatan (Low Cost),950,Cheras,Apartment,3,1,1,650 ,Not Furnished,"Playground, Parking, Lift",Kuala Lumpur
3613,The Holmes,1 650,Cheras,Condominium,3,2,2,1050 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
3618,Dua Residency,5 900,CC,Condominium,5,1,5,2315 ,Fully Furnished,"Parking, Security, Gymnasium, Barbeque area, Sauna, Swimming Pool, Lift, Playground, Multipurpose hall",Kuala Lumpur
3620,Taman Desa Cheras,900,Cheras,Apartment,3,1,1,750 ,Fully Furnished,"Parking, Minimart",Kuala Lumpur
3621,Bandar Tasik Selatan (Low Cost),750,Cheras,Apartment,3,1,2,657 ,Partially Furnished,"Playground, Security, Parking, Lift",Kuala Lumpur
3622,Suria Jelatek Residence,1 800,Ampang Hilir,Condominium,3,1,2,1421 ,Partially Furnished,"Minimart, Gymnasium, Jogging Track, Multipurpose hall, Security, Playground, Parking, Swimming Pool, Barbeque area, Lift",Kuala Lumpur
3624,Sentul Point Suite Apartment,1 700,tul,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Minimart, Squash Court, Security, Playground, Swimming Pool, Gymnasium",Kuala Lumpur
3626,Pantai Hillpark 5,2 000,Bangsar South,Condominium,3,1,2,1100 ,Fully Furnished,"Squash Court, Parking, Swimming Pool, Gymnasium, Minimart, Playground, Security",Kuala Lumpur
3628,Rica Residence Sentul,1 700,tul,Condominium,2,1,1,700 ,Not Furnished,"Security, Playground, Jogging Track, Swimming Pool, Gymnasium, Minimart, Tennis Court, Squash Court, Parking, Lift",Kuala Lumpur
3629,Pinnacle (Sri Petaling),1 800,i Petaling,Service Residence,3,2,3,911 ,Not Furnished,"Gymnasium, Sauna, Playground, Swimming Pool, Tennis Court, Squash Court, Jogging Track, Club house, Security, Minimart, Barbeque area, Lift, Parking, Multipurpose hall",Kuala Lumpur
3630,Legasi Kampong Bharu,2 300,City,Apartment,3,1,2,810 ,Not Furnished,"Swimming Pool, Gymnasium, Parking, Lift, Security, Minimart, Playground, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
3631,Vista Langkawi @ PV18,1 500,tapak,Service Residence,3,1,2,926 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Jogging Track",Kuala Lumpur
3632,Abadi Indah,1 350,Taman Desa,Condominium,3,1,2,950 ,Not Furnished,"Parking, Minimart, Squash Court, Security, Playground, Swimming Pool, Tennis Court, Gymnasium",Kuala Lumpur
3636,The Mark,1 500,Cheras,Condominium,1,2,1,618 ,Fully Furnished,"Club house, Sauna, Barbeque area, Multipurpose hall, Security, Gymnasium, Playground, Jogging Track, Parking",Kuala Lumpur
3637,The Troika,8 500,CC,Condominium,2,1,3,1930 ,Fully Furnished,"Lift, Sauna, Parking, Swimming Pool, Gymnasium, Multipurpose hall, Security, Minimart, Playground, Jogging Track, Barbeque area, Club house, Tennis Court, Squash Court",Kuala Lumpur
