,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
7276,Anyaman Residence,1 900,chai Lama,Condominium,3,1,2,935 ,Fully Furnished,"Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Security, Playground, Parking, Lift",Kuala Lumpur
7277,Sentul Point Suite Apartment,1 499,tul,Apartment,3,1,2,900 ,Partially Furnished,"Security, Minimart, Gymnasium, Parking, Squash Court, Playground, Swimming Pool",Kuala Lumpur
7278,Minang Ria,750,Cheras,Apartment,3,1,2,700 ,Not Furnished,"Parking, Security, Lift, Playground",Kuala Lumpur
7279,M Vertica,1 650,Cheras,Condominium,3,2,2,850 ,Not Furnished,"Tennis Court, Lift, Playground, Barbeque area, Security, Parking, Jogging Track, Multipurpose hall, Swimming Pool",Kuala Lumpur
7280,City Gardens,2 850,Bukit Bintang,Condominium,3,1,2,1350 ,Fully Furnished,"Playground, Tennis Court, Swimming Pool, Sauna, Security, Minimart, Gymnasium, Barbeque area, Parking",Kuala Lumpur
7281,Arte Plus Jalan Ampang,2 500,Ampang,Service Residence,2,1,2,747 ,Fully Furnished,"Playground, Jogging Track, Parking, Gymnasium, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Club house, Security, Tennis Court, Squash Court, Minimart",Kuala Lumpur
7282,Inspirasi Mont' Kiara Condo,3 500,Mont Kiara,Condominium,3,2,2,940 ,Fully Furnished,"Lift, Security, Parking, Gymnasium, Swimming Pool",Kuala Lumpur
7283,Residensi KepongMas,999,pong,Apartment,3,1,2,800 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium, Jogging Track",Kuala Lumpur
7285,Sentul Point Suite Apartment,1 600,tul,Apartment,3,1,2,850 ,Partially Furnished,"Swimming Pool, Squash Court, Playground, Gymnasium, Parking, Security, Minimart, Lift",Kuala Lumpur
7286,Casa Kiara 1,2 500,Mont Kiara,Condominium,4,2,3,1250 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7288,Mutiara Villa,2 000,Bukit Bintang,Condominium,2,1,2,1210 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall",Kuala Lumpur
7290,Aman Puri,850,pong,Apartment,3,1,2,910 ,Partially Furnished,"Swimming Pool, Security, Playground, Parking, Lift, Minimart, Tennis Court, Jogging Track",Kuala Lumpur
7292,Rampai Court,250 000,Wangsa Maju,Apartment,2,1,1,600 ,Partially Furnished,"Playground, Parking, Security, Barbeque area, Lift, Minimart",Kuala Lumpur
7294,Embassyview,3 500,Ampang Hilir,Condominium,4,2,4,1632 ,Partially Furnished,"Barbeque area, Sauna, Security, Swimming Pool, Jogging Track, Playground, Tennis Court, Gymnasium",Kuala Lumpur
7295,Aster Green Residence,2 000,i Petaling,Service Residence,3,1,2,958 ,Partially Furnished,"Playground, Multipurpose hall, Parking, Barbeque area, Security, Swimming Pool",Kuala Lumpur
7296,The Havre @ Bukit Jalil,1 500,Bukit Jalil,Condominium,3,2,3,1100 ,Partially Furnished,"Lift, Barbeque area, Multipurpose hall, Parking, Playground, Tennis Court, Squash Court, Sauna, Club house, Security, Minimart, Swimming Pool, Gymnasium, Jogging Track",Kuala Lumpur
7299,Platinum Hill PV 3,1 300,tapak,Condominium,4,1,2,1297 ,Partially Furnished,"Minimart, Parking, Gymnasium, Security, Playground, Swimming Pool",Kuala Lumpur
7300,Platinum Lake Condominium PV 20,2 300,tapak,Condominium,3,2,2,1478 ,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security, Club house, Minimart, Playground",Kuala Lumpur
7302,The Hipster @ Taman Desa,1 600,Taman Desa,Condominium,3,2,2,1000 ,Partially Furnished,"Minimart, Swimming Pool, Lift, Playground, Security, Gymnasium, Squash Court, Parking, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house",Kuala Lumpur
7303,Rica Residence Sentul,1 450,tul,Condominium,2,1,1,700 ,Partially Furnished,"Jogging Track, Playground, Gymnasium, Tennis Court, Parking, Lift, Minimart, Swimming Pool, Security, Squash Court",Kuala Lumpur
7304,Alpha Villa,1 400,Wangsa Maju,Apartment,4,1,2,1070 ,Partially Furnished,"Parking, Security, Lift, Multipurpose hall, Jogging Track, Minimart",Kuala Lumpur
7305,The Hamstead,1 900,Cheras,Condominium,3,2,2,1003 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7307,Residence 8,1 300,Old Klang Road,Condominium,2,1,3,900 ,Partially Furnished,"Security, Playground, Sauna, Multipurpose hall, Swimming Pool, Barbeque area, Gymnasium",Kuala Lumpur
7308,Maxim Citilights,1 450,tul,Service Residence,2,2,2,850 ,Partially Furnished,"Playground, Swimming Pool, Security, Minimart, Jogging Track, Parking, Lift, Gymnasium",Kuala Lumpur
7309,The Goodwood Residence,4 400,Bangsar South,Service Residence,4,2,3,1200 ,Fully Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Security, Parking, Playground, Jogging Track, Club house, Sauna, Barbeque area, Lift, Minimart",Kuala Lumpur
7310,The Hipster @ Taman Desa,2 200,Taman Desa,Condominium,3,2,2,958 ,Fully Furnished,"Squash Court, Playground, Swimming Pool, Gymnasium, Parking, Security, Lift, Minimart, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house",Kuala Lumpur
7312,Residence 8,980,Old Klang Road,Others,1,1,1,300 ,Partially Furnished,"Sauna, Barbeque area, Playground, Swimming Pool, Gymnasium, Security, Multipurpose hall, Minimart, Jogging Track",Kuala Lumpur
7313,The Reach @ Titiwangsa,1 999,tapak,Condominium,4,2,3,1477 ,Partially Furnished,"Security, Swimming Pool, Gymnasium, Squash Court, Parking",Kuala Lumpur
7314,Kiara Residence,2 300,Bukit Jalil,Condominium,4,2,3,1280 ,Fully Furnished,"Minimart, Gymnasium, Club house, Parking, Tennis Court, Jogging Track, Barbeque area, Playground, Security, Swimming Pool, Squash Court, Sauna",Kuala Lumpur
7316,Fawina Court,1 300,Ampang,Condominium,2,1,2,915 ,Fully Furnished,"Security, Tennis Court, Parking, Lift, Swimming Pool, Playground",Kuala Lumpur
7317,The Hermington,1 700,chai Lama,Condominium,3,2,2,1100 ,Partially Furnished,"Security, Swimming Pool, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Parking, Playground, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Club house",Kuala Lumpur
7319,Dorsett Residences Sri Hartamas,2 150,i Hartamas,Service Residence,2,1,1,560 ,Fully Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Playground",Kuala Lumpur
7320,Denai Sutera,2 100,Bukit Jalil,Condominium,4,2,3,1500 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
7322,Parkhill Residence Bukit Jalil,2 600,Bukit Jalil,Condominium,3,2,2,1100 ,Fully Furnished,"Security, Lift, Squash Court, Club house, Minimart, Playground, Parking, Swimming Pool, Gymnasium",Kuala Lumpur
7323,SkyMeridien Residences @ Sentul East,1 999,tul,Service Residence,2,2,2,800 ,Fully Furnished,"Security, Gymnasium, Jogging Track, Multipurpose hall, Parking, Minimart, Playground, Swimming Pool, Squash Court, Barbeque area, Sauna, Tennis Court, Lift, Club house",Kuala Lumpur
7324,Residensi Alam Damai (PR1MA @ Alam Damai),1 400,Cheras,Apartment,3,2,2,900 ,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",Kuala Lumpur
7325,South View,3 000,Bangsar South,Service Residence,2,1,2,815 ,Fully Furnished,"Playground, Swimming Pool, Barbeque area, Multipurpose hall, Security, Gymnasium, Parking",Kuala Lumpur
7326,Bukit Segambut,1 200,mbut,Condominium,3,1,2,955 ,Partially Furnished,"Playground, Barbeque area, Parking, Security, Minimart, Multipurpose hall, Sauna, Gymnasium",Kuala Lumpur
7327,Sentul Point Suite Apartment,1 600,tul,Apartment,3,1,2,850 ,Partially Furnished,"Swimming Pool, Parking, Security, Playground, Minimart, Gymnasium, Squash Court, Lift, Barbeque area, Tennis Court",Kuala Lumpur
7328,Danau Kota Suite Apartments,1 900,tapak,Apartment,3,1,2,829 ,Fully Furnished,"Gymnasium, Jogging Track, Lift, Parking, Security, Playground, Minimart, Swimming Pool",Kuala Lumpur
7329,Hedgeford 10 Residences @ Wangsa Maju,1 400,Wangsa Maju,Service Residence,1,1,1,550 ,Fully Furnished,"Sauna, Minimart, Swimming Pool, Jogging Track, Parking, Security",Kuala Lumpur
7330,Pantai HillPark 1,2 300,Bangsar South,Condominium,3,1,2,1300 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Tennis Court",Kuala Lumpur
7331,Maxim Residences,1 600,Cheras,Service Residence,3,1,2,819 ,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Lift, Playground, Minimart, Multipurpose hall, Sauna, Barbeque area",Kuala Lumpur
7333,Nova I,1 400,mbut,Apartment,2,1,1,750 ,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool",Kuala Lumpur
7334,Seri Riana Residence,3 200,Wangsa Maju,Condominium,3,1,2,1259 ,Fully Furnished,"Security, Club house, Parking, Gymnasium, Squash Court, Playground, Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Sauna",Kuala Lumpur
7336,The Elements,419 000,Ampang,Service Residence,1,1,1,705 ,Partially Furnished,"Gymnasium, Multipurpose hall, Barbeque area, Playground, Swimming Pool, Sauna, Jogging Track, Security",Kuala Lumpur
7337,10 Semantan,1 300,Damansara Heights,Service Residence,1,1,1,550 ,Fully Furnished,"Security, Swimming Pool, Gymnasium, Parking, Lift",Kuala Lumpur
7339,Majestic Maxim,1 700,Cheras,Service Residence,3,2,2,819 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7340,Jalil Damai,1 500,Bukit Jalil,Apartment,3,1,2,1100 ,Partially Furnished,"Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart, Squash Court",Kuala Lumpur
7341,Saville,1 800,Taman Melawati,Service Residence,3,1,2,1007 ,Partially Furnished,"Gymnasium, Parking, Security, Swimming Pool, Multipurpose hall, Lift, Playground",Kuala Lumpur
7342,Sofiya Residences,2 000,Desa ParkCity,Condominium,3,1,2,862 ,Fully Furnished,"Security, Playground, Lift, Parking, Multipurpose hall, Gymnasium",Kuala Lumpur
7343,M Vertica,3 000,Cheras,Condominium,4,2,2,1030 ,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Lift, Barbeque area, Tennis Court, Security, Playground, Jogging Track",Kuala Lumpur
7344,The Capers,1 900,tul,Service Residence,2,1,2,750 ,Fully Furnished,"Swimming Pool, Barbeque area, Gymnasium, Security, Sauna, Parking, Playground, Jogging Track",Kuala Lumpur
7345,Sentul Utama Condominium,1 500,tul,Condominium,3,1,2,850 ,Partially Furnished,"Swimming Pool, Playground, Lift, Parking, Security",Kuala Lumpur
7347,GCB Court,2 500,Ampang,Condominium,4,1,2,2000 ,Fully Furnished,"Parking, Security, Squash Court, Gymnasium, Tennis Court, Barbeque area, Playground, Swimming Pool, Sauna, Lift",Kuala Lumpur
