Title,Price,Area,Category,Size,Bedrooms,Bathrooms
Kojaya Condo 923sf 4R2B High floor 1cp Ampang KL,RM 378 000,AMPANG,Apartments,923 sq.ft.,3 Bedrooms,2 Bathrooms
KLCC VIEW. BALCONY. BEAUTIFUL ID. F-FURNISHED. WALK-LRT. Suria Jelatek,RM 630 000,AMPANG,Apartments,1421 sq.ft.,3 Bedrooms,2 Bathrooms
Corner Unit Luxury Condo The Elements Ampang,RM 900 000,AMPANG,Apartments,1572 sq.ft.,4 Bedrooms,3 Bathrooms
"Fully furnished m-suite, kuala lumpur",RM 565 000,AMPANG,Apartments,502 sq.ft.,1 Bedroom,1 Bathroom
"M City Serviced Residence Jalan Ampang , Ampang Hilir",RM 690 000,AMPANG,Apartments,886 sq.ft.,2 Bedrooms,2 Bathrooms
Awesome Flat For Sales Grab IT Cahaya Flat,RM 150 000,AMPANG,Apartments,700 sq.ft.,2 Bedrooms,2 Bathrooms
[Below Market 34%] Duplex M City Jalan Ampang 1041sf Ampang Hilir,RM 496 000,AMPANG,Apartments,1041 sq.ft.,2 Bedrooms,2 Bathrooms
[Below Market 44%] Astoria Ampang 747sf,RM 392 000,AMPANG,Apartments,747 sq.ft.,2 Bedrooms,2 Bathrooms
FREEHOLD | GCB Court Condo | 1925sqft | Non Bumi | BELOW PRICE,RM 620 000,AMPANG,Apartments,1925 sq.ft.,4 Bedrooms,3 Bathrooms
TERMURAH LEVEL 1 Pangsapuri PKNS Ampang Jaya Jalan 4M,RM 235 000,AMPANG,Apartments,755 sq.ft.,3 Bedrooms,2 Bathrooms
"(LEVEL 1)HOT UNIT Pandan Lake View Apartment, Pandan Perdana Ampang KL",RM 310 000,AMPANG,Apartments,856 sq.ft.,3 Bedrooms,2 Bathrooms
BELOW MV MURAH Menara Polo Desa Pandan Kuala Lumpur Jom View,RM 455 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
Suria Jelatek Residence - 1420sf - Near LRT - Limited unit Ampang,RM 600 000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
RENOVATED 1089 SQFT Suria Jelatek Residence Jalan Jelatek Kuala Lumpur,RM 530 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence, Jalan Jelatek, Kuala Lumpur",RM 530 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"[GROUND FLOOR] Desa Pandan ,Baiduri, Maluri, Ampang, [MURAH MURAH]",RM 282 000,AMPANG,Apartments,716 sq.ft.,3 Bedrooms,2 Bathrooms
"Arte Plus, Ampang Kuala Lumpur",RM 538 000,AMPANG,Apartments,786 sq.ft.,2 Bedrooms,2 Bathrooms
"[SPACIOUS LUXURY CONDO] Rimbun Embassy Row, Ampang Hilir - 4412sqft",RM 5 603 240,AMPANG,Apartments,4412 sq.ft.,5 Bedrooms,6 Bathrooms
Madge Mansions Condominium Taman U-Thant KL with Private Lift Lobby,RM 10 500 000,AMPANG,Apartments,7825 sq.ft.,5 Bedrooms,5 Bathrooms
"[FULLY FURNISHED] Rimbun Embassy Row, Ampang Hilir, KL -3551sqft",RM 6 500 000,AMPANG,Apartments,3551 sq.ft.,4 Bedrooms,5 Bathrooms
"Rimbun Luxury Triplex Penthouse, Ampang Hilir, KL [Spacious Unit]",RM 25 000 000,AMPANG,Apartments,17000 sq.ft.,8 Bedrooms,10 Bathrooms
[FULLY FURNISHED] Duplex Condominium TARA33 Ampang Hilir,RM 3 250 000,AMPANG,Apartments,4715 sq.ft.,6 Bedrooms,6 Bathrooms
"[SPACIOUS UNIT] Rimbun Embassy Row, Ampang Hilir, KL - 4412sqft",RM 7 500 000,AMPANG,Apartments,4412 sq.ft.,5 Bedrooms,6 Bathrooms
Metro Villa Ground Floor Apartment for Sale,RM 298 000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
"RENOVATED, 1089sqft | Suria Jelatek Residence",RM 530 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEAST | RENOVATED | Sri Angsana Hilir Condominium Ampang Hilir,RM 298 000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence , Ampang Hilir, BELOW MARKET PRICE, near LRT",RM 395 000,AMPANG,Apartments,908 sq.ft.,3 Bedrooms,2 Bathrooms
[below market 50k]liberty arc brand new condo high rental yield kl,RM 279 000,AMPANG,Apartments,452 sq.ft.,1 Bedroom,1 Bathroom
"(Full Loan) One Ampang Avenue Eastside, 1280sf with Balcony",RM 450 000,AMPANG,Apartments,1280 sq.ft.,3 Bedrooms,2 Bathrooms
"M city Ampang, Jalan Ampang Hilir, 2ROOM, Nice fully furnished",RM 900 000,AMPANG,Apartments,878 sq.ft.,2 Bedrooms,2 Bathrooms
"M-City Jalan Ampang, KL",RM 380 000,AMPANG,Apartments,678 sq.ft.,1 Bedroom,1 Bathroom
Below Market 37% | Astoria Ampang 747sf,RM 441 000,AMPANG,Apartments,747 sq.ft.,3 Bedrooms,2 Bathrooms
[BELOW MARKET] RIVERRA AMPANG KL CHERAS GROUND FLOOR + Corner Unit,RM 323 000,AMPANG,Apartments,958 sq.ft.,3 Bedrooms,2 Bathrooms
Below Market 29% | Duplex M City Jalan Ampang 1018sf Freehold,RM 534 000,AMPANG,Apartments,1018 sq.ft.,2 Bedrooms,2 Bathrooms
Suria Jelatek Residece UNTUK Jual Fully Renovation Below Market 20%,RM 490 000,AMPANG,Apartments,1098 sq.ft.,3 Bedrooms,2 Bathrooms
M City Jalan Ampang Lake View [BELOW MARKET VALUE],RM 560 000,AMPANG,Apartments,781 sq.ft.,1 Bedroom,1 Bathroom
"Spring Ville Apartment, Ukay Perdana, Ampang, Gd Condition",RM 218 000,AMPANG,Apartments,728 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Apartment Permai Puteri NEGOTIABLE+BELOW MV+NEAR LRT,RM 275 000,AMPANG,Apartments,833 sq.ft.,3 Bedrooms,2 Bathrooms
