State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.22,PARIT RAJA,RASHIDAH RAMLI,BN,"9,549","21,566",44.28%,1,P,MNG,0
Johor,N.23,PENGGARAM,GAN PECK CHENG,PKR,"26,825","41,630",64.44%,1,P,MNG,0
Johor,N.23,PENGGARAM,KANG BENG KUAN,BN,"9,620","41,630",23.11%,0,L,KLH,0
Johor,N.23,PENGGARAM,MISRAN BIN SAMIAN,PAS,"5,185","41,630",12.45%,0,L,HD,0
Johor,N.24,SENGGARANG,KHAIRUDDIN BIN A RAHIM,PKR,"10,568","23,026",45.90%,1,L,MNG,0
Johor,N.24,SENGGARANG,DR MOHD RAMLI,PAS,"2,699","23,026",11.72%,0,L,HD,DOKTOR PERUBATAN SWASTA
Johor,N.24,SENGGARANG,ZAIDI BIN JAPAR,BN,"9,759","23,026",42.38%,0,L,KLH,0
Johor,N.25,RENGIT,MALIK FAISHAL BIN AHMAD,PKR,"5,470","17,425",31.39%,0,L,KLH,0
Johor,N.25,RENGIT,AYUB JAMIL,BN,"9,642","17,425",55.33%,1,L,MNG,0
Johor,N.25,RENGIT,MOHD.TUMIRAN BIN AHMAD,PAS,"2,313","17,425",13.27%,0,L,KLH,0
Johor,N.26,MACHAP,ABD TAIB BIN ABU BAKAR,BN,"9,375","19,976",46.93%,1,L,MNG,0
Johor,N.26,MACHAP,HAJI AHMAD BIN AHEM,PKR,"8,971","19,976",44.91%,0,L,KLH,0
Johor,N.26,MACHAP,USTAZ HAJI AZLISHAM,PAS,"1,630","19,976",8.16%,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,HJ JUBRI,PAS,"1,339","15,873",8.44%,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,ONN HAFIZ BIN GHAZI,BN,"7,449","15,873",46.93%,1,L,MNG,0
Johor,N.27,LAYANG-LAYANG,CIKGU MURUGAN,PKR,"7,085","15,873",44.64%,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHIN SIM LAI,BN,"10,333","39,892",25.90%,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHEW CHONG SIN,PKR,"29,559","39,892",74.10%,1,L,MNG,0
Johor,N.29,MAHKOTA,DATUK HJ. MD JAIS SARDAY,BN,"17,839","40,438",44.11%,0,L,KLH,0
Johor,N.29,MAHKOTA,MUHAMAD SAID JONIT,PKR,"19,507","40,438",48.24%,1,L,MNG,0
Johor,N.29,MAHKOTA,HASBULLAH NAJIB,PAS,"3,092","40,438",7.65%,0,L,HD,0
Johor,N.30,PALOH,TEOH YAP KUN,BN,"8,175","17,194",47.55%,0,L,KLH,0
Johor,N.30,PALOH,SHAMUGAM A/L MUNISAMY,BEBAS - GAJAH,61,"17,194",0.35%,0,L,HD,0
Johor,N.30,PALOH,SHEIKH OMAR ALI,PKR,"8,958","17,194",52.10%,1,L,MNG,0
Johor,N.31,KAHANG,NOORLIHAN BINTI ARIFFIN,PKR,"7,907","18,675",42.34%,0,P,KLH,0
Johor,N.31,KAHANG,R. VIDYANANTHAN,BN,"10,768","18,675",57.66%,1,L,MNG,0
Johor,N.32,ENDAU,ALWIYAH TALIB,BN,"7,136","14,881",47.95%,1,P,MNG,0
Johor,N.32,ENDAU,CIKGU ROSLAN,PAS,"3,689","14,881",24.79%,0,L,KLH,0
Johor,N.32,ENDAU,NORUL HASZARUL BIN ABU SAMAH,PKR,"4,056","14,881",27.26%,0,L,KLH,0
Johor,N.33,TENGGAROH,RAHAMIZON BINTI ABDUL GHANI,PKR,"6,544","22,396",29.22%,0,P,KLH,0
Johor,N.33,TENGGAROH,RAVEN KUMAR KRISHNASAMY,BN,"12,309","22,396",54.96%,1,L,MNG,0
Johor,N.33,TENGGAROH,A. RAHMAN BIN A. HAMID,PAS,"3,543","22,396",15.82%,0,L,KLH,0
Johor,N.34,PANTI,LT. KOLONEL (B) NAZARI,PAS,"2,071","21,465",9.65%,0,L,HD,0
Johor,N.34,PANTI,INTAN JAWAHIR,PKR,"7,985","21,465",37.20%,0,P,KLH,0
Johor,N.34,PANTI,HAHASRIN BIN HASHIM,BN,"11,409","21,465",53.15%,1,L,MNG,0
Johor,N.35,PASIR RAJA,BAHRIN BIN ALIAS,PAS,"1,351","15,614",8.65%,0,L,HD,0
Johor,N.35,PASIR RAJA,ABRARY RAMLY,PKR,"6,208","15,614",39.76%,0,L,KLH,0
Johor,N.35,PASIR RAJA,RASHIDAH BINTI ISMAIL,BN,"8,055","15,614",51.59%,1,P,MNG,0
Johor,N.36,SEDILI,ABD RAZAK BIN ESA,PKR,"4,239","17,646",24.02%,0,L,KLH,0
Johor,N.36,SEDILI,RASMAN BIN ITHNAIN,BN,"13,407","17,646",75.98%,1,L,MNG,0
Johor,N.37,JOHOR LAMA,HJ ROSLELI BIN JAHARI,BN,"12,532","20,690",60.57%,1,L,MNG,0
Johor,N.37,JOHOR LAMA,NOR ASHIDAH BINTI IBRAHIM,PKR,"6,725","20,690",32.50%,0,P,KLH,0
Johor,N.37,JOHOR LAMA,SITI ZAHARAH OTHMAN,PAS,"1,433","20,690",6.93%,0,P,HD,0
Johor,N.38,PENAWAR,AHMAD KAMAH BIN NOR,PKR,"5,196","17,526",29.65%,0,L,KLH,0
Johor,N.38,PENAWAR,DATO' SHARIFAH AZIZAH ALSHAHAB,BN,"12,330","17,526",70.35%,1,P,MNG,0
Johor,N.39,TANJUNG SURAT,ZAMIL NAJWAH BIN ARBAIN,PKR,"5,092","14,706",34.63%,0,L,KLH,0
Johor,N.39,TANJUNG SURAT,DATO' SYED SIS BIN A RAHMAN,BN,"9,614","14,706",65.37%,1,L,MNG,0
Johor,N.40,TIRAM,AZMAN BIN ATMIN,PAS,"5,366","50,414",10.64%,0,L,HD,0
Johor,N.40,TIRAM,S GOPALAKRISHNAN,PKR,"26,573","50,414",52.71%,1,L,MNG,0
Johor,N.40,TIRAM,DATUK MAULIZAN BUJANG,BN,"18,475","50,414",36.65%,0,L,KLH,0
