Year,Quarter,Blocks of countries,Category,Countries,Credit RM million,Debit RM million,Net RM million
2009,3Q,Southeast Asia,of which,Singapore,3469,2819,650
2009,3Q,Southeast Asia,of which,Thailand,483,1003,-521
2009,3Q,Southeast Asia,Total Southeast Asia,Total Country,4415,4413,2
2009,4Q,East Asia,of which,"China, People's Republic of",94,308,-214
2009,4Q,East Asia,of which,"Hong Kong, SAR",3177,1756,1421
2009,4Q,East Asia,of which,Japan,1792,1678,114
2009,4Q,East Asia,of which,"Korea, Republic of",199,397,-198
2009,4Q,East Asia,of which,Taiwan,-56,136,-192
2009,4Q,East Asia,Total East Asia,Total Country,5208,4277,931
2009,4Q,Europe,of which,Denmark,483,7,476
2009,4Q,Europe,of which,France,106,238,-132
2009,4Q,Europe,of which,Germany,1049,829,219
2009,4Q,Europe,of which,Luxembourg,557,197,360
2009,4Q,Europe,of which,Netherlands,1961,1301,660
2009,4Q,Europe,of which,Switzerland,129,174,-45
2009,4Q,Europe,of which,United Kingdom,196,542,-346
2009,4Q,Europe,Total Europe,Total Country,5822,4294,1528
2009,4Q,Latin America,of which,Bermuda,-141,40,-180
2009,4Q,Latin America,of which,Cayman Islands,157,212,-55
2009,4Q,Latin America,of which,Virgin Islands (British),937,84,853
2009,4Q,Latin America,Total Latin America,Total Country,1739,1939,-200
2009,4Q,North America,of which,United States,-1483,5351,-6834
2009,4Q,North America,Total North America,Total Country,-1433,5373,-6806
2009,4Q,Oceania,of which,Australia,868,167,701
2009,4Q,Oceania,Total Oceania,Total Country,885,215,671
2009,4Q,Other Block of Countries,Total Other Block of Countries,Total Country,1180,640,540
2009,4Q,Southeast Asia,of which,Singapore,4150,3557,593
2009,4Q,Southeast Asia,of which,Thailand,1114,370,744
2009,4Q,Southeast Asia,Total Southeast Asia,Total Country,5716,4362,1354
2010,1Q,East Asia,of which,"China, People's Republic of",493,152,341
2010,1Q,East Asia,of which,"Hong Kong, SAR",858,1134,-275
2010,1Q,East Asia,of which,Japan,1791,1841,-50
2010,1Q,East Asia,of which,"Korea, Republic of",269,52,217
2010,1Q,East Asia,of which,Taiwan,217,62,155
2010,1Q,East Asia,Total East Asia,Total Country,3628,3241,387
2010,1Q,Europe,of which,Denmark,76,28,48
2010,1Q,Europe,of which,France,240,176,64
2010,1Q,Europe,of which,Germany,650,933,-283
2010,1Q,Europe,of which,Luxembourg,104,26,78
2010,1Q,Europe,of which,Netherlands,3750,1413,2337
2010,1Q,Europe,of which,Switzerland,337,184,153
2010,1Q,Europe,of which,United Kingdom,336,441,-105
2010,1Q,Europe,Total Europe,Total Country,7860,3716,4144
2010,1Q,Latin America,of which,Bermuda,545,9,536
2010,1Q,Latin America,of which,Cayman Islands,-29,205,-234
2010,1Q,Latin America,of which,Virgin Islands (British),242,146,96
2010,1Q,Latin America,Total Latin America,Total Country,1369,2301,-932
2010,1Q,North America,of which,United States,4613,2829,1783
2010,1Q,North America,Total North America,Total Country,4634,2870,1764
2010,1Q,Oceania,of which,Australia,86,158,-71
2010,1Q,Oceania,Total Oceania,Total Country,113,173,-61
2010,1Q,Other Block of Countries,Total Other Block of Countries,Total Country,813,653,159
2010,1Q,Southeast Asia,of which,Singapore,2880,3328,-448
2010,1Q,Southeast Asia,of which,Thailand,835,236,600
2010,1Q,Southeast Asia,Total Southeast Asia,Total Country,4139,3938,201
2010,2Q,East Asia,of which,"China, People's Republic of",156,343,-188
2010,2Q,East Asia,of which,"Hong Kong, SAR",374,647,-273
2010,2Q,East Asia,of which,Japan,2307,1241,1066
2010,2Q,East Asia,of which,"Korea, Republic of",257,120,136
2010,2Q,East Asia,of which,Taiwan,155,181,-27
2010,2Q,East Asia,Total East Asia,Total Country,3249,2538,710
2010,2Q,Europe,of which,Denmark,-136,43,-179
2010,2Q,Europe,of which,France,303,277,26
2010,2Q,Europe,of which,Germany,780,1256,-476
2010,2Q,Europe,of which,Luxembourg,248,304,-56
2010,2Q,Europe,of which,Netherlands,2270,1401,869
2010,2Q,Europe,of which,Switzerland,175,165,9
2010,2Q,Europe,of which,United Kingdom,425,362,63
2010,2Q,Europe,Total Europe,Total Country,5297,4672,625
2010,2Q,Latin America,of which,Bermuda,-385,33,-418
2010,2Q,Latin America,of which,Cayman Islands,616,53,563
2010,2Q,Latin America,of which,Virgin Islands (British),863,50,813
2010,2Q,Latin America,Total Latin America,Total Country,2359,720,1638
2010,2Q,North America,of which,United States,4514,2338,2176
2010,2Q,North America,Total North America,Total Country,4589,2413,2175
2010,2Q,Oceania,of which,Australia,159,223,-64
2010,2Q,Oceania,Total Oceania,Total Country,172,240,-68
2010,2Q,Other Block of Countries,Total Other Block of Countries,Total Country,1245,288,957
2010,2Q,Southeast Asia,of which,Singapore,2606,2271,335
2010,2Q,Southeast Asia,of which,Thailand,775,837,-62
2010,2Q,Southeast Asia,Total Southeast Asia,Total Country,3816,3360,456
2010,3Q,East Asia,of which,"China, People's Republic of",203,200,3
2010,3Q,East Asia,of which,"Hong Kong, SAR",1259,1318,-59
2010,3Q,East Asia,of which,Japan,2265,1942,323
2010,3Q,East Asia,of which,"Korea, Republic of",576,252,324
2010,3Q,East Asia,of which,Taiwan,51,265,-214
2010,3Q,East Asia,Total East Asia,Total Country,4357,3978,379
2010,3Q,Europe,of which,Denmark,79,18,62
2010,3Q,Europe,of which,France,122,123,-1
2010,3Q,Europe,of which,Germany,1002,1263,-262
2010,3Q,Europe,of which,Luxembourg,272,176,96
2010,3Q,Europe,of which,Netherlands,2300,1966,334
2010,3Q,Europe,of which,Switzerland,431,145,286
2010,3Q,Europe,of which,United Kingdom,347,2092,-1744
2010,3Q,Europe,Total Europe,Total Country,5432,6242,-810
2010,3Q,Latin America,of which,Bermuda,167,25,142
2010,3Q,Latin America,of which,Cayman Islands,733,150,582
2010,3Q,Latin America,of which,Virgin Islands (British),442,49,394
2010,3Q,Latin America,Total Latin America,Total Country,2397,629,1769
2010,3Q,North America,of which,United States,4002,1182,2819
2010,3Q,North America,Total North America,Total Country,4106,1186,2920
2010,3Q,Oceania,of which,Australia,620,213,407
2010,3Q,Oceania,Total Oceania,Total Country,636,258,378
2010,3Q,Other Block of Countries,Total Other Block of Countries,Total Country,1549,460,1089
2010,3Q,Southeast Asia,of which,Singapore,3722,3164,558
2010,3Q,Southeast Asia,of which,Thailand,445,666,-221
2010,3Q,Southeast Asia,Total Southeast Asia,Total Country,4697,3998,698
2010,4Q,East Asia,of which,"China, People's Republic of",68,320,-252
2010,4Q,East Asia,of which,"Hong Kong, SAR",1327,1438,-111
2010,4Q,East Asia,of which,Japan,3433,1849,1584
2010,4Q,East Asia,of which,"Korea, Republic of",4046,180,3866
2010,4Q,East Asia,of which,Taiwan,1,325,-325
2010,4Q,East Asia,Total East Asia,Total Country,8879,4229,4650
2010,4Q,Europe,of which,Denmark,-6,29,-35
2010,4Q,Europe,of which,France,784,159,626
2010,4Q,Europe,of which,Germany,1273,747,526
2010,4Q,Europe,of which,Luxembourg,125,112,13
2010,4Q,Europe,of which,Netherlands,3590,994,2595
2010,4Q,Europe,of which,Switzerland,239,193,46
2010,4Q,Europe,of which,United Kingdom,928,926,1
2010,4Q,Europe,Total Europe,Total Country,7531,3633,3898
2010,4Q,Latin America,of which,Bermuda,192,114,78
2010,4Q,Latin America,of which,Cayman Islands,390,49,342
2010,4Q,Latin America,of which,Virgin Islands (British),228,180,48
2010,4Q,Latin America,Total Latin America,Total Country,1843,1813,30
2010,4Q,North America,of which,United States,2714,1669,1045
2010,4Q,North America,Total North America,Total Country,2738,1782,956
2010,4Q,Oceania,of which,Australia,574,592,-18
2010,4Q,Oceania,Total Oceania,Total Country,600,602,-3
2010,4Q,Other Block of Countries,Total Other Block of Countries,Total Country,1178,594,584
2010,4Q,Southeast Asia,of which,Singapore,2627,1390,1237
2010,4Q,Southeast Asia,of which,Thailand,466,1295,-829
2010,4Q,Southeast Asia,Total Southeast Asia,Total Country,3436,2947,489
2011,1Q,East Asia,of which,"China, People's Republic of",354,175,179
2011,1Q,East Asia,of which,"Hong Kong, SAR",1752,1879,-127
2011,1Q,East Asia,of which,Japan,4014,1862,2152
2011,1Q,East Asia,of which,"Korea, Republic of",382,50,332
2011,1Q,East Asia,of which,Taiwan,427,82,344
2011,1Q,East Asia,Total East Asia,Total Country,6934,4052,2882
2011,1Q,Europe,of which,Denmark,57,11,46
2011,1Q,Europe,of which,France,101,114,-13
2011,1Q,Europe,of which,Germany,2231,682,1550
2011,1Q,Europe,of which,Luxembourg,192,410,-218
2011,1Q,Europe,of which,Netherlands,2455,1462,993
2011,1Q,Europe,of which,Switzerland,357,213,144
2011,1Q,Europe,of which,United Kingdom,369,418,-48
2011,1Q,Europe,Total Europe,Total Country,6440,3776,2664
2011,1Q,Latin America,of which,Bermuda,676,19,657
2011,1Q,Latin America,of which,Cayman Islands,124,957,-833
2011,1Q,Latin America,of which,Virgin Islands (British),102,33,69
2011,1Q,Latin America,Total Latin America,Total Country,2139,1064,1075
2011,1Q,North America,of which,United States,3040,1560,1479
2011,1Q,North America,Total North America,Total Country,3203,1589,1614
2011,1Q,Oceania,of which,Australia,229,263,-33
2011,1Q,Oceania,Total Oceania,Total Country,276,292,-16
2011,1Q,Other Block of Countries,Total Other Block of Countries,Total Country,836,504,332
2011,1Q,Southeast Asia,of which,Singapore,5620,2787,2834
2011,1Q,Southeast Asia,of which,Thailand,455,534,-79
2011,1Q,Southeast Asia,Total Southeast Asia,Total Country,6461,3584,2877
