School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Pahang,Raub,2018,Academic,Male,2789
Secondary school,Pahang,Raub,2018,Academic,Female,2865
Secondary school,Pahang,Raub,2018,Vocational College,Male,
Secondary school,Pahang,Raub,2018,Vocational College,Female,
Secondary school,Pahang,Rompin,2017,Academic,Male,3757
Secondary school,Pahang,Rompin,2017,Academic,Female,4166
Secondary school,Pahang,Rompin,2017,Vocational College,Male,766
Secondary school,Pahang,Rompin,2017,Vocational College,Female,334
Secondary school,Pahang,Rompin,2018,Academic,Male,3602
Secondary school,Pahang,Rompin,2018,Academic,Female,4059
Secondary school,Pahang,Rompin,2018,Vocational College,Male,672
Secondary school,Pahang,Rompin,2018,Vocational College,Female,261
Secondary school,Pahang,Temerloh,2017,Academic,Male,6091
Secondary school,Pahang,Temerloh,2017,Academic,Female,6129
Secondary school,Pahang,Temerloh,2017,Vocational College,Male,551
Secondary school,Pahang,Temerloh,2017,Vocational College,Female,391
Secondary school,Pahang,Temerloh,2018,Academic,Male,5858
Secondary school,Pahang,Temerloh,2018,Academic,Female,5980
Secondary school,Pahang,Temerloh,2018,Vocational College,Male,541
Secondary school,Pahang,Temerloh,2018,Vocational College,Female,343
Secondary school,Melaka,Alor Gajah,2017,Academic,Male,7484
Secondary school,Melaka,Alor Gajah,2017,Academic,Female,7862
Secondary school,Melaka,Alor Gajah,2017,Vocational College,Male,648
Secondary school,Melaka,Alor Gajah,2017,Vocational College,Female,190
Secondary school,Melaka,Alor Gajah,2018,Academic,Male,7191
Secondary school,Melaka,Alor Gajah,2018,Academic,Female,7574
Secondary school,Melaka,Alor Gajah,2018,Vocational College,Male,593
Secondary school,Melaka,Alor Gajah,2018,Vocational College,Female,200
Secondary school,Melaka,Jasin,2017,Academic,Male,5660
Secondary school,Melaka,Jasin,2017,Academic,Female,6205
Secondary school,Melaka,Jasin,2017,Vocational College,Male,256
Secondary school,Melaka,Jasin,2017,Vocational College,Female,515
Secondary school,Melaka,Jasin,2018,Academic,Male,5418
Secondary school,Melaka,Jasin,2018,Academic,Female,6024
Secondary school,Melaka,Jasin,2018,Vocational College,Male,216
Secondary school,Melaka,Jasin,2018,Vocational College,Female,459
Secondary school,Melaka,Melaka Tengah,2017,Academic,Male,19032
Secondary school,Melaka,Melaka Tengah,2017,Academic,Female,19554
Secondary school,Melaka,Melaka Tengah,2017,Vocational College,Male,680
Secondary school,Melaka,Melaka Tengah,2017,Vocational College,Female,157
Secondary school,Melaka,Melaka Tengah,2018,Academic,Male,18722
Secondary school,Melaka,Melaka Tengah,2018,Academic,Female,19006
Secondary school,Melaka,Melaka Tengah,2018,Vocational College,Male,650
Secondary school,Melaka,Melaka Tengah,2018,Vocational College,Female,148
Secondary school,Perlis,Melaka Tengah,2017,Academic,Male,9308
Secondary school,Perlis,Melaka Tengah,2017,Academic,Female,10122
Secondary school,Perlis,Melaka Tengah,2017,Vocational College,Male,1193
Secondary school,Perlis,Melaka Tengah,2017,Vocational College,Female,578
Secondary school,Perlis,Melaka Tengah,2018,Academic,Male,8974
Secondary school,Perlis,Melaka Tengah,2018,Academic,Female,9878
Secondary school,Perlis,Melaka Tengah,2018,Vocational College,Male,1063
Secondary school,Perlis,Melaka Tengah,2018,Vocational College,Female,488
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2017,Academic,Male,45424
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2017,Academic,Female,45626
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2017,Vocational College,Male,870
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2017,Vocational College,Female,728
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2018,Academic,Male,43859
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2018,Academic,Female,43976
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2018,Vocational College,Male,821
Secondary school,W.P. Kuala Lumpur,Melaka Tengah,2018,Vocational College,Female,715
Secondary school,W.P. Labuan,Melaka Tengah,2017,Academic,Male,2801
Secondary school,W.P. Labuan,Melaka Tengah,2017,Academic,Female,2958
Secondary school,W.P. Labuan,Melaka Tengah,2017,Vocational College,Male,502
Secondary school,W.P. Labuan,Melaka Tengah,2017,Vocational College,Female,218
Secondary school,W.P. Labuan,Melaka Tengah,2018,Academic,Male,2854
Secondary school,W.P. Labuan,Melaka Tengah,2018,Academic,Female,2906
Secondary school,W.P. Labuan,Melaka Tengah,2018,Vocational College,Male,424
Secondary school,W.P. Labuan,Melaka Tengah,2018,Vocational College,Female,139
Secondary school,W.P. Putrajaya,Melaka Tengah,2017,Academic,Male,4286
Secondary school,W.P. Putrajaya,Melaka Tengah,2017,Academic,Female,3501
Secondary school,W.P. Putrajaya,Melaka Tengah,2017,Vocational College,Male,
Secondary school,W.P. Putrajaya,Melaka Tengah,2017,Vocational College,Female,
Secondary school,W.P. Putrajaya,Melaka Tengah,2018,Academic,Male,4395
Secondary school,W.P. Putrajaya,Melaka Tengah,2018,Academic,Female,3608
Secondary school,W.P. Putrajaya,Melaka Tengah,2018,Vocational College,Male,
Secondary school,W.P. Putrajaya,Melaka Tengah,2018,Vocational College,Female,
Secondary school,Pulau Pinang,Daerah Barat Daya,2017,Academic,Male,4561
Secondary school,Pulau Pinang,Daerah Barat Daya,2017,Academic,Female,4973
Secondary school,Pulau Pinang,Daerah Barat Daya,2017,Vocational College,Male,577
Secondary school,Pulau Pinang,Daerah Barat Daya,2017,Vocational College,Female,221
Secondary school,Pulau Pinang,Daerah Barat Daya,2018,Academic,Male,4522
Secondary school,Pulau Pinang,Daerah Barat Daya,2018,Academic,Female,4811
Secondary school,Pulau Pinang,Daerah Barat Daya,2018,Vocational College,Male,535
Secondary school,Pulau Pinang,Daerah Barat Daya,2018,Vocational College,Female,228
Secondary school,Pulau Pinang,Seberang Perai Utara,2017,Academic,Male,12214
Secondary school,Pulau Pinang,Seberang Perai Utara,2017,Academic,Female,13779
Secondary school,Pulau Pinang,Seberang Perai Utara,2017,Vocational College,Male,556
Secondary school,Pulau Pinang,Seberang Perai Utara,2017,Vocational College,Female,211
Secondary school,Pulau Pinang,Seberang Perai Utara,2018,Academic,Male,12105
Secondary school,Pulau Pinang,Seberang Perai Utara,2018,Academic,Female,13319
Secondary school,Pulau Pinang,Seberang Perai Utara,2018,Vocational College,Male,482
Secondary school,Pulau Pinang,Seberang Perai Utara,2018,Vocational College,Female,218
Secondary school,Pulau Pinang,Seberang Perai Selatan,2017,Academic,Male,6605
Secondary school,Pulau Pinang,Seberang Perai Selatan,2017,Academic,Female,6702
Secondary school,Pulau Pinang,Seberang Perai Selatan,2017,Vocational College,Male,637
Secondary school,Pulau Pinang,Seberang Perai Selatan,2017,Vocational College,Female,234
Secondary school,Pulau Pinang,Seberang Perai Selatan,2018,Academic,Male,6354
Secondary school,Pulau Pinang,Seberang Perai Selatan,2018,Academic,Female,6680
Secondary school,Pulau Pinang,Seberang Perai Selatan,2018,Vocational College,Male,637
Secondary school,Pulau Pinang,Seberang Perai Selatan,2018,Vocational College,Female,229
Secondary school,Pulau Pinang,Seberang Perai Tengah,2017,Academic,Male,13746
Secondary school,Pulau Pinang,Seberang Perai Tengah,2017,Academic,Female,14096
Secondary school,Pulau Pinang,Seberang Perai Tengah,2017,Vocational College,Male,308
Secondary school,Pulau Pinang,Seberang Perai Tengah,2017,Vocational College,Female,215
Secondary school,Pulau Pinang,Seberang Perai Tengah,2018,Academic,Male,13173
Secondary school,Pulau Pinang,Seberang Perai Tengah,2018,Academic,Female,13610
Secondary school,Pulau Pinang,Seberang Perai Tengah,2018,Vocational College,Male,276
Secondary school,Pulau Pinang,Seberang Perai Tengah,2018,Vocational College,Female,189
Secondary school,Pulau Pinang,Daerah Timor Laut,2017,Academic,Male,15365
Secondary school,Pulau Pinang,Daerah Timor Laut,2017,Academic,Female,15566
Secondary school,Pulau Pinang,Daerah Timor Laut,2017,Vocational College,Male,417
Secondary school,Pulau Pinang,Daerah Timor Laut,2017,Vocational College,Female,122
Secondary school,Pulau Pinang,Daerah Timor Laut,2018,Academic,Male,14701
Secondary school,Pulau Pinang,Daerah Timor Laut,2018,Academic,Female,14865
Secondary school,Pulau Pinang,Daerah Timor Laut,2018,Vocational College,Male,403
Secondary school,Pulau Pinang,Daerah Timor Laut,2018,Vocational College,Female,125
Secondary school,Selangor,Gombak,2017,Academic,Male,25730
Secondary school,Selangor,Gombak,2017,Academic,Female,25511
Secondary school,Selangor,Gombak,2017,Vocational College,Male,1016
Secondary school,Selangor,Gombak,2017,Vocational College,Female,741
Secondary school,Selangor,Gombak,2018,Academic,Male,25002
Secondary school,Selangor,Gombak,2018,Academic,Female,24889
Secondary school,Selangor,Gombak,2018,Vocational College,Male,1035
Secondary school,Selangor,Gombak,2018,Vocational College,Female,733
Secondary school,Selangor,Hulu Langat,2017,Academic,Male,33083
Secondary school,Selangor,Hulu Langat,2017,Academic,Female,34419
Secondary school,Selangor,Hulu Langat,2017,Vocational College,Male,675
Secondary school,Selangor,Hulu Langat,2017,Vocational College,Female,194
Secondary school,Selangor,Hulu Langat,2018,Academic,Male,32321
Secondary school,Selangor,Hulu Langat,2018,Academic,Female,33554
Secondary school,Selangor,Hulu Langat,2018,Vocational College,Male,629
Secondary school,Selangor,Hulu Langat,2018,Vocational College,Female,188
Secondary school,Selangor,Hulu Selangor,2017,Academic,Male,8979
Secondary school,Selangor,Hulu Selangor,2017,Academic,Female,9317
Secondary school,Selangor,Hulu Selangor,2017,Vocational College,Male,
Secondary school,Selangor,Hulu Selangor,2017,Vocational College,Female,
Secondary school,Selangor,Hulu Selangor,2018,Academic,Male,8800
Secondary school,Selangor,Hulu Selangor,2018,Academic,Female,9065
Secondary school,Selangor,Hulu Selangor,2018,Vocational College,Male,
Secondary school,Selangor,Hulu Selangor,2018,Vocational College,Female,
Secondary school,Selangor,Klang,2017,Academic,Male,30610
Secondary school,Selangor,Klang,2017,Academic,Female,32344
Secondary school,Selangor,Klang,2017,Vocational College,Male,840
Secondary school,Selangor,Klang,2017,Vocational College,Female,179
Secondary school,Selangor,Klang,2018,Academic,Male,30034
Secondary school,Selangor,Klang,2018,Academic,Female,31632
Secondary school,Selangor,Klang,2018,Vocational College,Male,776
Secondary school,Selangor,Klang,2018,Vocational College,Female,176
Secondary school,Selangor,Kuala Langat,2017,Academic,Male,9868
Secondary school,Selangor,Kuala Langat,2017,Academic,Female,10406
Secondary school,Selangor,Kuala Langat,2017,Vocational College,Male,274
Secondary school,Selangor,Kuala Langat,2017,Vocational College,Female,349
Secondary school,Selangor,Kuala Langat,2018,Academic,Male,9715
Secondary school,Selangor,Kuala Langat,2018,Academic,Female,10221
Secondary school,Selangor,Kuala Langat,2018,Vocational College,Male,296
Secondary school,Selangor,Kuala Langat,2018,Vocational College,Female,399
Secondary school,Selangor,Kuala Selangor,2017,Academic,Male,10479
Secondary school,Selangor,Kuala Selangor,2017,Academic,Female,11061
Secondary school,Selangor,Kuala Selangor,2017,Vocational College,Male,254
Secondary school,Selangor,Kuala Selangor,2017,Vocational College,Female,367
Secondary school,Selangor,Kuala Selangor,2018,Academic,Male,10195
Secondary school,Selangor,Kuala Selangor,2018,Academic,Female,10863
Secondary school,Selangor,Kuala Selangor,2018,Vocational College,Male,257
Secondary school,Selangor,Kuala Selangor,2018,Vocational College,Female,378
Secondary school,Selangor,Petaling Perdana ,2017,Academic,Male,34148
Secondary school,Selangor,Petaling Perdana ,2017,Academic,Female,34614
Secondary school,Selangor,Petaling Perdana ,2017,Vocational College,Male,478
Secondary school,Selangor,Petaling Perdana ,2017,Vocational College,Female,116
Secondary school,Selangor,Petaling Perdana ,2018,Academic,Male,33590
Secondary school,Selangor,Petaling Perdana ,2018,Academic,Female,33917
Secondary school,Selangor,Petaling Perdana ,2018,Vocational College,Male,493
Secondary school,Selangor,Petaling Perdana ,2018,Vocational College,Female,105
Secondary school,Selangor,Petaling Utama,2017,Academic,Male,14688
Secondary school,Selangor,Petaling Utama,2017,Academic,Female,16362
Secondary school,Selangor,Petaling Utama,2017,Vocational College,Male,
Secondary school,Selangor,Petaling Utama,2017,Vocational College,Female,
Secondary school,Selangor,Petaling Utama,2018,Academic,Male,14276
Secondary school,Selangor,Petaling Utama,2018,Academic,Female,15878
Secondary school,Selangor,Petaling Utama,2018,Vocational College,Male,
Secondary school,Selangor,Petaling Utama,2018,Vocational College,Female,
Secondary school,Selangor,Sabak Bernam,2017,Academic,Male,6024
Secondary school,Selangor,Sabak Bernam,2017,Academic,Female,7079
Secondary school,Selangor,Sabak Bernam,2017,Vocational College,Male,
Secondary school,Selangor,Sabak Bernam,2017,Vocational College,Female,
Secondary school,Selangor,Sabak Bernam,2018,Academic,Male,5838
Secondary school,Selangor,Sabak Bernam,2018,Academic,Female,6890
Secondary school,Selangor,Sabak Bernam,2018,Vocational College,Male,
Secondary school,Selangor,Sabak Bernam,2018,Vocational College,Female,
Secondary school,Selangor,Sepang,2017,Academic,Male,6815
Secondary school,Selangor,Sepang,2017,Academic,Female,8148
Secondary school,Selangor,Sepang,2017,Vocational College,Male,476
Secondary school,Selangor,Sepang,2017,Vocational College,Female,313
Secondary school,Selangor,Sepang,2018,Academic,Male,7012
Secondary school,Selangor,Sepang,2018,Academic,Female,8208
Secondary school,Selangor,Sepang,2018,Vocational College,Male,459
Secondary school,Selangor,Sepang,2018,Vocational College,Female,328
Secondary school,Terengganu,Besut,2017,Academic,Male,7144
Secondary school,Terengganu,Besut,2017,Academic,Female,8293
Secondary school,Terengganu,Besut,2017,Vocational College,Male,672
Secondary school,Terengganu,Besut,2017,Vocational College,Female,214
Secondary school,Terengganu,Besut,2018,Academic,Male,6866
Secondary school,Terengganu,Besut,2018,Academic,Female,8117
Secondary school,Terengganu,Besut,2018,Vocational College,Male,613
Secondary school,Terengganu,Besut,2018,Vocational College,Female,203
Secondary school,Terengganu,Dungun,2017,Academic,Male,6363
Secondary school,Terengganu,Dungun,2017,Academic,Female,6970
Secondary school,Terengganu,Dungun,2017,Vocational College,Male,199
Secondary school,Terengganu,Dungun,2017,Vocational College,Female,298
Secondary school,Terengganu,Dungun,2018,Academic,Male,6191
Secondary school,Terengganu,Dungun,2018,Academic,Female,6758
Secondary school,Terengganu,Dungun,2018,Vocational College,Male,208
Secondary school,Terengganu,Dungun,2018,Vocational College,Female,294
Secondary school,Terengganu,Hulu Terengganu,2017,Academic,Male,3452
Secondary school,Terengganu,Hulu Terengganu,2017,Academic,Female,3711
Secondary school,Terengganu,Hulu Terengganu,2017,Vocational College,Male,
Secondary school,Terengganu,Hulu Terengganu,2017,Vocational College,Female,
Secondary school,Terengganu,Hulu Terengganu,2018,Academic,Male,3337
Secondary school,Terengganu,Hulu Terengganu,2018,Academic,Female,3588
Secondary school,Terengganu,Hulu Terengganu,2018,Vocational College,Male,
Secondary school,Terengganu,Hulu Terengganu,2018,Vocational College,Female,
Secondary school,Terengganu,Kemaman,2017,Academic,Male,7465
Secondary school,Terengganu,Kemaman,2017,Academic,Female,8048
Secondary school,Terengganu,Kemaman,2017,Vocational College,Male,596
Secondary school,Terengganu,Kemaman,2017,Vocational College,Female,267
Secondary school,Terengganu,Kemaman,2018,Academic,Male,7365
Secondary school,Terengganu,Kemaman,2018,Academic,Female,7925
Secondary school,Terengganu,Kemaman,2018,Vocational College,Male,567
Secondary school,Terengganu,Kemaman,2018,Vocational College,Female,241
Secondary school,Terengganu,Kuala Nerus ,2017,Academic,Male,5944
Secondary school,Terengganu,Kuala Nerus ,2017,Academic,Female,5941
Secondary school,Terengganu,Kuala Nerus ,2017,Vocational College,Male,753
Secondary school,Terengganu,Kuala Nerus ,2017,Vocational College,Female,226
Secondary school,Terengganu,Kuala Nerus ,2018,Academic,Male,5781
Secondary school,Terengganu,Kuala Nerus ,2018,Academic,Female,5846
Secondary school,Terengganu,Kuala Nerus ,2018,Vocational College,Male,724
Secondary school,Terengganu,Kuala Nerus ,2018,Vocational College,Female,211
Secondary school,Terengganu,Kuala Terengganu,2017,Academic,Male,9852
Secondary school,Terengganu,Kuala Terengganu,2017,Academic,Female,10737
Secondary school,Terengganu,Kuala Terengganu,2017,Vocational College,Male,
Secondary school,Terengganu,Kuala Terengganu,2017,Vocational College,Female,
Secondary school,Terengganu,Kuala Terengganu,2018,Academic,Male,9415
Secondary school,Terengganu,Kuala Terengganu,2018,Academic,Female,10441
Secondary school,Terengganu,Kuala Terengganu,2018,Vocational College,Male,
Secondary school,Terengganu,Kuala Terengganu,2018,Vocational College,Female,
Secondary school,Terengganu,Marang,2017,Academic,Male,4593
Secondary school,Terengganu,Marang,2017,Academic,Female,5012
Secondary school,Terengganu,Marang,2017,Vocational College,Male,
Secondary school,Terengganu,Marang,2017,Vocational College,Female,
Secondary school,Terengganu,Marang,2018,Academic,Male,4322
Secondary school,Terengganu,Marang,2018,Academic,Female,4902
Secondary school,Terengganu,Marang,2018,Vocational College,Male,
Secondary school,Terengganu,Marang,2018,Vocational College,Female,
Secondary school,Terengganu,Setiu,2017,Academic,Male,3208
Secondary school,Terengganu,Setiu,2017,Academic,Female,3423
Secondary school,Terengganu,Setiu,2017,Vocational College,Male,
Secondary school,Terengganu,Setiu,2017,Vocational College,Female,
Secondary school,Terengganu,Setiu,2018,Academic,Male,3055
Secondary school,Terengganu,Setiu,2018,Academic,Female,3396
Secondary school,Terengganu,Setiu,2018,Vocational College,Male,
Secondary school,Terengganu,Setiu,2018,Vocational College,Female,
Primary school,Sarawak,Baram,2017,,Male,2859
Primary school,Sarawak,Baram,2017,,Female,2670
Primary school,Sarawak,Baram,2018,,Male,2789
Primary school,Sarawak,Baram,2018,,Female,2646
Primary school,Sarawak,Bau,2017,,Male,2821
Primary school,Sarawak,Bau,2017,,Female,2601
Primary school,Sarawak,Bau,2018,,Male,2801
Primary school,Sarawak,Bau,2018,,Female,2581
Primary school,Sarawak,Belaga,2017,,Male,1528
Primary school,Sarawak,Belaga,2017,,Female,1400
Primary school,Sarawak,Belaga,2018,,Male,1487
Primary school,Sarawak,Belaga,2018,,Female,1390
Primary school,Sarawak,Betong,2017,,Male,3583
Primary school,Sarawak,Betong,2017,,Female,3493
Primary school,Sarawak,Betong,2018,,Male,3698
Primary school,Sarawak,Betong,2018,,Female,3533
Primary school,Sarawak,Bintulu,2017,,Male,8970
Primary school,Sarawak,Bintulu,2017,,Female,8432
Primary school,Sarawak,Bintulu,2018,,Male,8931
Primary school,Sarawak,Bintulu,2018,,Female,8430
Primary school,Sarawak,Dalat,2017,,Male,1393
Primary school,Sarawak,Dalat,2017,,Female,1298
Primary school,Sarawak,Dalat,2018,,Male,1370
Primary school,Sarawak,Dalat,2018,,Female,1246
Primary school,Sarawak,Daro,2017,,Male,2577
Primary school,Sarawak,Daro,2017,,Female,2395
Primary school,Sarawak,Daro,2018,,Male,2593
Primary school,Sarawak,Daro,2018,,Female,2434
Primary school,Sarawak,Julau,2017,,Male,1651
Primary school,Sarawak,Julau,2017,,Female,1584
Primary school,Sarawak,Julau,2018,,Male,1623
Primary school,Sarawak,Julau,2018,,Female,1549
Primary school,Sarawak,Kanowit,2017,,Male,1579
Primary school,Sarawak,Kanowit,2017,,Female,1550
Primary school,Sarawak,Kanowit,2018,,Male,1567
Primary school,Sarawak,Kanowit,2018,,Female,1509
Primary school,Sarawak,Kapit,2017,,Male,3254
Primary school,Sarawak,Kapit,2017,,Female,2980
Primary school,Sarawak,Kapit,2018,,Male,3154
Primary school,Sarawak,Kapit,2018,,Female,2922
Primary school,Sarawak,Kuching,2017,,Male,16573
Primary school,Sarawak,Kuching,2017,,Female,15502
Primary school,Sarawak,Kuching,2018,,Male,16501
Primary school,Sarawak,Kuching,2018,,Female,15415
Primary school,Sarawak,Lawas,2017,,Male,2196
Primary school,Sarawak,Lawas,2017,,Female,2024
Primary school,Sarawak,Lawas,2018,,Male,2222
Primary school,Sarawak,Lawas,2018,,Female,2032
Primary school,Sarawak,Limbang,2017,,Male,2642
Primary school,Sarawak,Limbang,2017,,Female,2422
Primary school,Sarawak,Limbang,2018,,Male,2564
Primary school,Sarawak,Limbang,2018,,Female,2413
Primary school,Sarawak,Lubuk Antu,2017,,Male,1360
Primary school,Sarawak,Lubuk Antu,2017,,Female,1267
Primary school,Sarawak,Lubuk Antu,2018,,Male,1357
Primary school,Sarawak,Lubuk Antu,2018,,Female,1288
Primary school,Sarawak,Lundu ,2017,,Male,2010
Primary school,Sarawak,Lundu ,2017,,Female,1824
Primary school,Sarawak,Lundu ,2018,,Male,2062
Primary school,Sarawak,Lundu ,2018,,Female,1822
Primary school,Sarawak,Meradong,2017,,Male,1418
Primary school,Sarawak,Meradong,2017,,Female,1342
Primary school,Sarawak,Meradong,2018,,Male,1365
Primary school,Sarawak,Meradong,2018,,Female,1325
Primary school,Sarawak,Miri,2017,,Male,12911
Primary school,Sarawak,Miri,2017,,Female,12053
Primary school,Sarawak,Miri,2018,,Male,12893
Primary school,Sarawak,Miri,2018,,Female,11942
Primary school,Sarawak,Mukah,2017,,Male,2371
Primary school,Sarawak,Mukah,2017,,Female,2249
Primary school,Sarawak,Mukah,2018,,Male,2430
Primary school,Sarawak,Mukah,2018,,Female,2290
Primary school,Sarawak,Padawan,2017,,Male,12895
Primary school,Sarawak,Padawan,2017,,Female,11957
Primary school,Sarawak,Padawan,2018,,Male,12701
Primary school,Sarawak,Padawan,2018,,Female,12017
Primary school,Sarawak,Samarahan,2017,,Male,6805
Primary school,Sarawak,Samarahan,2017,,Female,6427
Primary school,Sarawak,Samarahan,2018,,Male,6923
Primary school,Sarawak,Samarahan,2018,,Female,6589
Primary school,Sarawak,Saratok,2017,,Male,2589
Primary school,Sarawak,Saratok,2017,,Female,2507
Primary school,Sarawak,Saratok,2018,,Male,2614
Primary school,Sarawak,Saratok,2018,,Female,2526
Primary school,Sarawak,Sarikei,2017,,Male,2963
Primary school,Sarawak,Sarikei,2017,,Female,2805
Primary school,Sarawak,Sarikei,2018,,Male,2915
Primary school,Sarawak,Sarikei,2018,,Female,2783
Primary school,Sarawak,Selangau ,2017,,Male,1169
Primary school,Sarawak,Selangau ,2017,,Female,1137
Primary school,Sarawak,Selangau ,2018,,Male,1174
Primary school,Sarawak,Selangau ,2018,,Female,1135
Primary school,Sarawak,Serian,2017,,Male,4900
Primary school,Sarawak,Serian,2017,,Female,4568
Primary school,Sarawak,Serian,2018,,Male,4932
Primary school,Sarawak,Serian,2018,,Female,4661
Primary school,Sarawak,Sibu,2017,,Male,13051
Primary school,Sarawak,Sibu,2017,,Female,12106
Primary school,Sarawak,Sibu,2018,,Male,13021
Primary school,Sarawak,Sibu,2018,,Female,12095
Primary school,Sarawak,Simunjan,2017,,Male,2491
Primary school,Sarawak,Simunjan,2017,,Female,2249
Primary school,Sarawak,Simunjan,2018,,Male,2495
Primary school,Sarawak,Simunjan,2018,,Female,2300
Primary school,Sarawak,Song,2017,,Male,888
Primary school,Sarawak,Song,2017,,Female,775
Primary school,Sarawak,Song,2018,,Male,841
Primary school,Sarawak,Song,2018,,Female,763
Primary school,Sarawak,Sri Aman,2017,,Male,2708
Primary school,Sarawak,Sri Aman,2017,,Female,2512
Primary school,Sarawak,Sri Aman,2018,,Male,2712
Primary school,Sarawak,Sri Aman,2018,,Female,2511
Primary school,Sarawak,Subis ,2017,,Male,2668
Primary school,Sarawak,Subis ,2017,,Female,2518
Primary school,Sarawak,Subis ,2018,,Male,2648
Primary school,Sarawak,Subis ,2018,,Female,2510
Primary school,Sarawak,Tatau,2017,,Male,2031
Primary school,Sarawak,Tatau,2017,,Female,1922
Primary school,Sarawak,Tatau,2018,,Male,1986
Primary school,Sarawak,Tatau,2018,,Female,1915
Primary school,Perak,Bagan Datuk ,2017,,Male,
Primary school,Perak,Bagan Datuk ,2017,,Female,
Primary school,Perak,Bagan Datuk ,2018,,Male,2743
Primary school,Perak,Bagan Datuk ,2018,,Female,2572
Primary school,Perak,Batang Padang,2017,,Male,8341
Primary school,Perak,Batang Padang,2017,,Female,8050
Primary school,Perak,Batang Padang,2018,,Male,8509
Primary school,Perak,Batang Padang,2018,,Female,8182
Primary school,Perak,Hilir Perak,2017,,Male,8383
Primary school,Perak,Hilir Perak,2017,,Female,7979
Primary school,Perak,Hilir Perak,2018,,Male,5604
Primary school,Perak,Hilir Perak,2018,,Female,5354
Primary school,Perak,Hulu Perak,2017,,Male,5352
Primary school,Perak,Hulu Perak,2017,,Female,5044
Primary school,Perak,Hulu Perak,2018,,Male,5336
Primary school,Perak,Hulu Perak,2018,,Female,5012
Primary school,Perak,Kinta Utara ,2017,,Male,27908
Primary school,Perak,Kinta Utara ,2017,,Female,26548
Primary school,Perak,Kinta Utara ,2018,,Male,27873
Primary school,Perak,Kinta Utara ,2018,,Female,26421
Primary school,Perak,Kinta Selatan ,2017,,Male,7447
Primary school,Perak,Kinta Selatan ,2017,,Female,7115
Primary school,Perak,Kinta Selatan ,2018,,Male,7543
Primary school,Perak,Kinta Selatan ,2018,,Female,7100
Primary school,Perak,Kerian,2017,,Male,8037
Primary school,Perak,Kerian,2017,,Female,7658
Primary school,Perak,Kerian,2018,,Male,7924
Primary school,Perak,Kerian,2018,,Female,7443
Primary school,Perak,Kuala Kangsar,2017,,Male,7494
Primary school,Perak,Kuala Kangsar,2017,,Female,7186
Primary school,Perak,Kuala Kangsar,2018,,Male,7578
Primary school,Perak,Kuala Kangsar,2018,,Female,7169
Primary school,Perak,Larut Matang & Selama,2017,,Male,13482
Primary school,Perak,Larut Matang & Selama,2017,,Female,12717
Primary school,Perak,Larut Matang & Selama,2018,,Male,13280
Primary school,Perak,Larut Matang & Selama,2018,,Female,12542
Primary school,Perak,Manjung,2017,,Male,11800
Primary school,Perak,Manjung,2017,,Female,11344
Primary school,Perak,Manjung,2018,,Male,11861
Primary school,Perak,Manjung,2018,,Female,11273
Primary school,Perak,Perak Tengah,2017,,Male,4663
Primary school,Perak,Perak Tengah,2017,,Female,4569
Primary school,Perak,Perak Tengah,2018,,Male,4731
Primary school,Perak,Perak Tengah,2018,,Female,4579
Primary school,Kedah,Baling,2017,,Male,10841
Primary school,Kedah,Baling,2017,,Female,10428
Primary school,Kedah,Baling,2018,,Male,7220
Primary school,Kedah,Baling,2018,,Female,7054
Primary school,Kedah,Bandar Baharu,2017,,Male,16780
Primary school,Kedah,Bandar Baharu,2017,,Female,16343
Primary school,Kedah,Bandar Baharu,2018,,Male,16534
Primary school,Kedah,Bandar Baharu,2018,,Female,16281
Primary school,Kedah,Kota Setar,2017,,Male,17410
Primary school,Kedah,Kota Setar,2017,,Female,16954
Primary school,Kedah,Kota Setar,2018,,Male,17407
Primary school,Kedah,Kota Setar,2018,,Female,16964
Primary school,Kedah,Kuala Muda,2017,,Male,26878
Primary school,Kedah,Kuala Muda,2017,,Female,25650
Primary school,Kedah,Kuala Muda,2018,,Male,26691
Primary school,Kedah,Kuala Muda,2018,,Female,25741
Primary school,Kedah,Kubang Pasu,2017,,Male,11227
Primary school,Kedah,Kubang Pasu,2017,,Female,10410
Primary school,Kedah,Kubang Pasu,2018,,Male,11185
Primary school,Kedah,Kubang Pasu,2018,,Female,10536
Primary school,Kedah,Kulim,2017,,Male,
Primary school,Kedah,Kulim,2017,,Female,
Primary school,Kedah,Kulim,2018,,Male,
Primary school,Kedah,Kulim,2018,,Female,
Primary school,Kedah,Langkawi,2017,,Male,5115
Primary school,Kedah,Langkawi,2017,,Female,4965
Primary school,Kedah,Langkawi,2018,,Male,5222
Primary school,Kedah,Langkawi,2018,,Female,4993
Primary school,Kedah,Padang Terap,2017,,Male,3570
Primary school,Kedah,Padang Terap,2017,,Female,3362
Primary school,Kedah,Padang Terap,2018,,Male,3575
Primary school,Kedah,Padang Terap,2018,,Female,3312
