School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Sarawak,Lundu,2018,Academic,Female,1461
Secondary school,Sarawak,Lundu,2018,Vocational College,Male,
Secondary school,Sarawak,Lundu,2018,Vocational College,Female,
Secondary school,Sarawak,Meradong,2017,Academic,Male,1469
Secondary school,Sarawak,Meradong,2017,Academic,Female,1757
Secondary school,Sarawak,Meradong,2017,Vocational College,Male,
Secondary school,Sarawak,Meradong,2017,Vocational College,Female,
Secondary school,Sarawak,Meradong,2018,Academic,Male,1501
Secondary school,Sarawak,Meradong,2018,Academic,Female,1796
Secondary school,Sarawak,Meradong,2018,Vocational College,Male,
Secondary school,Sarawak,Meradong,2018,Vocational College,Female,
Secondary school,Sarawak,Miri,2017,Academic,Male,9391
Secondary school,Sarawak,Miri,2017,Academic,Female,9647
Secondary school,Sarawak,Miri,2017,Vocational College,Male,531
Secondary school,Sarawak,Miri,2017,Vocational College,Female,318
Secondary school,Sarawak,Miri,2018,Academic,Male,9343
Secondary school,Sarawak,Miri,2018,Academic,Female,9663
Secondary school,Sarawak,Miri,2018,Vocational College,Male,501
Secondary school,Sarawak,Miri,2018,Vocational College,Female,274
Secondary school,Sarawak,Mukah,2017,Academic,Male,1513
Secondary school,Sarawak,Mukah,2017,Academic,Female,1656
Secondary school,Sarawak,Mukah,2017,Vocational College,Male,
Secondary school,Sarawak,Mukah,2017,Vocational College,Female,
Secondary school,Sarawak,Mukah,2018,Academic,Male,1551
Secondary school,Sarawak,Mukah,2018,Academic,Female,1626
Secondary school,Sarawak,Mukah,2018,Vocational College,Male,
Secondary school,Sarawak,Mukah,2018,Vocational College,Female,
Secondary school,Sarawak,Padawan,2017,Academic,Male,9663
Secondary school,Sarawak,Padawan,2017,Academic,Female,9717
Secondary school,Sarawak,Padawan,2017,Vocational College,Male,597
Secondary school,Sarawak,Padawan,2017,Vocational College,Female,496
Secondary school,Sarawak,Padawan,2018,Academic,Male,9569
Secondary school,Sarawak,Padawan,2018,Academic,Female,9466
Secondary school,Sarawak,Padawan,2018,Vocational College,Male,564
Secondary school,Sarawak,Padawan,2018,Vocational College,Female,485
Secondary school,Sarawak,Samarahan,2017,Academic,Male,6059
Secondary school,Sarawak,Samarahan,2017,Academic,Female,6459
Secondary school,Sarawak,Samarahan,2017,Vocational College,Male,
Secondary school,Sarawak,Samarahan,2017,Vocational College,Female,
Secondary school,Sarawak,Samarahan,2018,Academic,Male,6171
Secondary school,Sarawak,Samarahan,2018,Academic,Female,6463
Secondary school,Sarawak,Samarahan,2018,Vocational College,Male,
Secondary school,Sarawak,Samarahan,2018,Vocational College,Female,
Secondary school,Sarawak,Saratok,2017,Academic,Male,2136
Secondary school,Sarawak,Saratok,2017,Academic,Female,2350
Secondary school,Sarawak,Saratok,2017,Vocational College,Male,
Secondary school,Sarawak,Saratok,2017,Vocational College,Female,
Secondary school,Sarawak,Saratok,2018,Academic,Male,2140
Secondary school,Sarawak,Saratok,2018,Academic,Female,2259
